order_id,order_placement_date,mmm_yy,customer_id,product_name,order_qty,delivery_qty
FMR34203601,2022-03-01,Mar_22,789203,AM Tea 500,90,83
FMR35203601,2022-03-02,Mar_22,789203,AM Tea 500,68,67
FMR39203601,2022-03-06,Mar_22,789203,AM Tea 500,81,104
FMR310203601,2022-03-09,Mar_22,789203,AM Tea 500,167,220
FMR311203603,2022-03-10,Mar_22,789203,AM Tea 500,80,54
FMR312203601,2022-03-11,Mar_22,789203,AM Tea 500,94,141
FMR314203603,2022-03-11,Mar_22,789203,AM Tea 500,66,41
FMR316203603,2022-03-13,Mar_22,789203,AM Tea 500,79,107
FMR319203601,2022-03-18,Mar_22,789203,AM Tea 500,140,96
FMR322203601,2022-03-19,Mar_22,789203,AM Tea 500,96,91
FMR323203601,2022-03-21,Mar_22,789203,AM Tea 500,188,120
FMR324203601,2022-03-22,Mar_22,789203,AM Tea 500,78,67
FMR325203601,2022-03-22,Mar_22,789203,AM Tea 500,76,51
FMR329203601,2022-03-26,Mar_22,789203,AM Tea 500,83,90
FMR331203601,2022-03-28,Mar_22,789203,AM Tea 500,118,106
FAP42203601,2022-03-31,Mar_22,789203,AM Tea 500,173,197
FAP43203602,2022-04-01,Apr_22,789203,AM Tea 500,172,133
FAP44203603,2022-04-03,Apr_22,789203,AM Tea 500,66,58
FAP46203601,2022-04-03,Apr_22,789203,AM Tea 500,96,143
FAP47203601,2022-04-06,Apr_22,789203,AM Tea 500,119,80
FAP411203601,2022-04-08,Apr_22,789203,AM Tea 500,48,39
FAP413203603,2022-04-11,Apr_22,789203,AM Tea 500,139,137
FAP414203601,2022-04-11,Apr_22,789203,AM Tea 500,103,88
FAP415203601,2022-04-12,Apr_22,789203,AM Tea 500,83,62
FAP425203603,2022-04-23,Apr_22,789203,AM Tea 500,81,104
FAP428203601,2022-04-27,Apr_22,789203,AM Tea 500,93,92
FMY51203601,2022-04-30,Apr_22,789203,AM Tea 500,153,121
FMY52203601,2022-04-30,Apr_22,789203,AM Tea 500,79,70
FMY510203601,2022-05-09,May_22,789203,AM Tea 500,112,94
FMY512203601,2022-05-11,May_22,789203,AM Tea 500,271,250
FMY515203601,2022-05-13,May_22,789203,AM Tea 500,84,127
FMY516203601,2022-05-13,May_22,789203,AM Tea 500,47,90
FMY520203601,2022-05-19,May_22,789203,AM Tea 500,84,155
FMY521203601,2022-05-20,May_22,789203,AM Tea 500,252,239
FMY522203601,2022-05-20,May_22,789203,AM Tea 500,66,91
FMY523203601,2022-05-21,May_22,789203,AM Tea 500,56,65
FJUN61203601,2022-05-30,May_22,789203,AM Tea 500,136,164
FJUN64203601,2022-06-03,Jun_22,789203,AM Tea 500,217,170
FJUN66203601,2022-06-03,Jun_22,789203,AM Tea 500,167,167
FJUN67203601,2022-06-05,Jun_22,789203,AM Tea 500,115,129
FJUN610203603,2022-06-08,Jun_22,789203,AM Tea 500,86,67
FJUN614203601,2022-06-11,Jun_22,789203,AM Tea 500,59,64
FJUN615203601,2022-06-13,Jun_22,789203,AM Tea 500,93,114
FJUN616203601,2022-06-13,Jun_22,789203,AM Tea 500,87,101
FJUN618203601,2022-06-16,Jun_22,789203,AM Tea 500,215,170
FJUN620203601,2022-06-19,Jun_22,789203,AM Tea 500,194,124
FJUN626203601,2022-06-25,Jun_22,789203,AM Tea 500,156,273
FJUN627203601,2022-06-25,Jun_22,789203,AM Tea 500,110,132
FJUN628203601,2022-06-26,Jun_22,789203,AM Tea 500,248,193
FJUN630203602,2022-06-27,Jun_22,789203,AM Tea 500,150,132
FJUL73203601,2022-06-30,Jun_22,789203,AM Tea 500,124,85
FJUL75203601,2022-07-03,Jul_22,789203,AM Tea 500,63,31
FJUL711203601,2022-07-08,Jul_22,789203,AM Tea 500,181,206
FJUL712203601,2022-07-09,Jul_22,789203,AM Tea 500,58,51
FJUL714203601,2022-07-11,Jul_22,789203,AM Tea 500,124,162
FJUL715203601,2022-07-13,Jul_22,789203,AM Tea 500,55,33
FJUL716203601,2022-07-14,Jul_22,789203,AM Tea 500,106,106
FJUL718203601,2022-07-17,Jul_22,789203,AM Tea 500,127,58
FJUL721203601,2022-07-19,Jul_22,789203,AM Tea 500,110,86
FJUL723203601,2022-07-20,Jul_22,789203,AM Tea 500,76,71
FJUL724203601,2022-07-21,Jul_22,789203,AM Tea 500,115,141
FJUL725203601,2022-07-23,Jul_22,789203,AM Tea 500,67,66
FJUL727203601,2022-07-26,Jul_22,789203,AM Tea 500,60,62
FJUL730203601,2022-07-28,Jul_22,789203,AM Tea 500,105,63
FAUG81203601,2022-07-31,Jul_22,789203,AM Tea 500,113,196
FAUG84203603,2022-08-03,Aug_22,789203,AM Tea 500,101,90
FAUG87203601,2022-08-06,Aug_22,789203,AM Tea 500,200,121
FAUG89203601,2022-08-08,Aug_22,789203,AM Tea 500,67,55
FAUG811203602,2022-08-09,Aug_22,789203,AM Tea 500,147,154
FAUG813203601,2022-08-12,Aug_22,789203,AM Tea 500,114,70
FAUG814203601,2022-08-13,Aug_22,789203,AM Tea 500,65,39
FAUG816203602,2022-08-14,Aug_22,789203,AM Tea 500,63,96
FAUG817203601,2022-08-14,Aug_22,789203,AM Tea 500,124,111
FAUG820203601,2022-08-17,Aug_22,789203,AM Tea 500,176,138
FAUG822203603,2022-08-19,Aug_22,789203,AM Tea 500,59,37
FAUG823203601,2022-08-20,Aug_22,789203,AM Tea 500,104,86
FAUG824203601,2022-08-23,Aug_22,789203,AM Tea 500,61,41
FAUG827203603,2022-08-26,Aug_22,789203,AM Tea 500,126,116
FAUG829203601,2022-08-27,Aug_22,789203,AM Tea 500,175,121
FAUG830203603,2022-08-28,Aug_22,789203,AM Tea 500,77,132
FAUG831203601,2022-08-29,Aug_22,789203,AM Tea 500,123,101
FMR35320601,2022-03-02,Mar_22,789320,AM Tea 500,106,97
FMR37320601,2022-03-04,Mar_22,789320,AM Tea 500,101,103
FMR310320601,2022-03-08,Mar_22,789320,AM Tea 500,56,64
FMR313320601,2022-03-10,Mar_22,789320,AM Tea 500,124,109
FMR311320601,2022-03-10,Mar_22,789320,AM Tea 500,154,135
FMR315320601,2022-03-13,Mar_22,789320,AM Tea 500,131,148
FMR317320601,2022-03-14,Mar_22,789320,AM Tea 500,70,72
FMR316320601,2022-03-15,Mar_22,789320,AM Tea 500,129,123
FMR323320601,2022-03-21,Mar_22,789320,AM Tea 500,63,83
FMR324320603,2022-03-23,Mar_22,789320,AM Tea 500,64,85
FMR325320601,2022-03-23,Mar_22,789320,AM Tea 500,124,72
FMR329320601,2022-03-28,Mar_22,789320,AM Tea 500,48,53
FMR330320601,2022-03-29,Mar_22,789320,AM Tea 500,130,115
FMR331320601,2022-03-30,Mar_22,789320,AM Tea 500,150,167
FAP43320601,2022-04-02,Apr_22,789320,AM Tea 500,106,118
FAP44320601,2022-04-03,Apr_22,789320,AM Tea 500,226,159
FAP45320601,2022-04-04,Apr_22,789320,AM Tea 500,146,112
FAP49320601,2022-04-06,Apr_22,789320,AM Tea 500,172,107
FAP410320601,2022-04-07,Apr_22,789320,AM Tea 500,69,78
FAP411320601,2022-04-09,Apr_22,789320,AM Tea 500,188,155
FAP413320603,2022-04-11,Apr_22,789320,AM Tea 500,59,50
FAP423320601,2022-04-22,Apr_22,789320,AM Tea 500,66,45
FAP425320603,2022-04-24,Apr_22,789320,AM Tea 500,108,139
FAP426320601,2022-04-24,Apr_22,789320,AM Tea 500,88,86
FAP428320601,2022-04-27,Apr_22,789320,AM Tea 500,160,118
FAP429320601,2022-04-28,Apr_22,789320,AM Tea 500,153,118
FAP430320601,2022-04-28,Apr_22,789320,AM Tea 500,87,95
FMY51320601,2022-04-28,Apr_22,789320,AM Tea 500,144,145
FMY55320601,2022-05-03,May_22,789320,AM Tea 500,215,113
FMY57320601,2022-05-05,May_22,789320,AM Tea 500,71,48
FMY58320601,2022-05-06,May_22,789320,AM Tea 500,174,113
FMY510320601,2022-05-07,May_22,789320,AM Tea 500,215,149
FMY513320601,2022-05-11,May_22,789320,AM Tea 500,58,101
FMY515320601,2022-05-12,May_22,789320,AM Tea 500,93,141
FMY514320601,2022-05-13,May_22,789320,AM Tea 500,122,213
FMY516320603,2022-05-14,May_22,789320,AM Tea 500,45,71
FMY518320601,2022-05-16,May_22,789320,AM Tea 500,192,120
FMY520320601,2022-05-19,May_22,789320,AM Tea 500,84,123
FMY523320601,2022-05-20,May_22,789320,AM Tea 500,206,145
FMY524320601,2022-05-21,May_22,789320,AM Tea 500,92,68
FMY525320601,2022-05-23,May_22,789320,AM Tea 500,200,158
FMY529320601,2022-05-26,May_22,789320,AM Tea 500,49,73
FJUN66320601,2022-06-05,Jun_22,789320,AM Tea 500,129,129
FJUN67320602,2022-06-06,Jun_22,789320,AM Tea 500,106,116
FJUN610320601,2022-06-08,Jun_22,789320,AM Tea 500,144,141
FJUN612320601,2022-06-11,Jun_22,789320,AM Tea 500,112,145
FJUN614320601,2022-06-12,Jun_22,789320,AM Tea 500,145,147
FJUN615320601,2022-06-13,Jun_22,789320,AM Tea 500,93,98
